"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Hours","Lecture","Lab","Tutorial","Breadth Requirement","Note"
"25","Mathematics 3157A/B","Introduction To Game Theory","A first course in the mathematical theory of games. Topics begin with the modelling of games: extensive and strategic forms; perfect information; chance. Sprague-Grundy theory of impartial combinatorial games. Modelling preferences with utility functions. Nash equilibria, analysis of two-player games.",3,"","","Mathematics 1600A/B, Calculus 1301A/B or Calculus 1501A/B, and one of Mathematics 1120A/B, Mathematics 2120A/B, Mathematics 2122A/B, Mathematics 2124A/B or Mathematics 2155F/G, the former Mathematics 2155A/B","3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"26","Mathematics 3159A/B","Introduction To Cryptography","Modern cryptological algorithms will be discussed with an emphasis placed on their mathematical foundation. Main topics will include: basic number theory, complexity of algorithms, symmetric-key cryptosystems, public-key cryptosystems, RSA encryption, primality and factoring, discrete logarithms, elliptic curves and information theory.",3,"","","Mathematics 1600A/B and one of Mathematics 2120A/B, Mathematics 2124A/B, Mathematics 2151A/B, Mathematics 2155F/G, Mathematics 3150A/B, Applied Mathematics 2811A/B, or Computer Science 2214A/B","3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"27","Mathematics 3958A/B","Special Topics In Mathematics","Extra Information: 3 lecture hours.",3,"","","Permission of the Department","Course Description 3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"28","Mathematics 3959A/B","Special Topics In Mathematics","Extra Information: 3 lecture hours.",3,"","","Permission of the Department","Course Description 3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"29","Mathematics 4120A/B","Field Theory","Automorphisms of fields, separable and normal extensions, splitting fields, fundamental theorem of Galois theory, primitive elements, Lagrange's theorem. Finite fields and their Galois groups, cyclotomic extensions and polynomials, applications of Galois theory to geometric constructions and solution of algebraic equations.",3,"","","Mathematics 3020A/B and Mathematics 3120A/B","3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"30","Mathematics 4121A/B","Topology","Topological spaces, neighbourhoods, bases, subspaces, product and quotient spaces, connectedness, compactness, separation axioms.",3,"","","Mathematics 3122A/B","3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"31","Mathematics 4122A/B","Introduction To Measure Theory","Lebesgue measure, measurable sets and functions, Littlewood principles; the Lebesgue integral, basic convergence theorems, approximation theorems; measure spaces, signed measures, Radon-Nikodym Theorem.",3,"","","Mathematics 3122A/B","3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"32","Mathematics 4123A/B","Rings And Modules","Rings: fractions and localization, Chinese Remainder Theorem, factorization in commutative rings, Euclidean algorithm, PIDs, algebraic integers, polynomials and formal power series, factorization in polynomial rings; Modules: generation, direct products and sums, freeness, presentations, tensor algebras, exact sequences, projectivity, injectivity, Hom and duality, Zorn's Lemma, chain conditions, modules over PIDs.",3,"","","Mathematics 3020A/B","3 lecture hours",TRUE,FALSE,FALSE,"Category C","It is recommended that Mathematics 3121A/B (or the former Math 2121A/B) be taken before or concurrently with Mathematics 4123A/B"
"33","Mathematics 4151A/B","Algebraic Number Theory","Algebraic numbers, cyclotomic fields, low dimensional Galois cohomology, Brauer groups, quadratic forms, local and global class fields, class field theory, Galois group representations, modular forms and elliptic curves, zeta function and L-series.",3,"","","Mathematics 4120A/B; Mathematics 3151A/B strongly recommended but not required","3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"34","Mathematics 4152A/B","Algebraic Topology","Homotopy, fundamental group, Van Kampen's theorem, covering spaces, simplicial and singular homology, homotopy invariance, long exact sequence of a pair, excision, Mayer-Vietoris sequence, degree, Euler characteristic, cell complexes, projective spaces. Applications include the fundamental theorem of algebra, the Brouwer fixed point theorem, division algebras, and invariance of domain.",3,"","","Mathematics 3120A/B and Mathematics 4121A/B","3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"35","Mathematics 4153A/B","Algebraic Geometry","Affine and projective varieties, coordinate rings and function fields, birational correspondences, sheaves, dimension theory, regularity.",3,"","","Mathematics 4123A/B","3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"36","Mathematics 4154A/B","Functional Analysis","Hilbert spaces: L^2 spaces, orthogonal complements, dual spaces, Riesz representation theorem, the Fredholm alternative, spectral resolution of compact normal operators. Banach spaces: Hahn-Banach theorem, bounded linear operators, adjoints, closed graph and Banach Steinhaus theorems.",3,"","Mathematics 3124A/B","Mathematics 2120A/B, Mathematics 3122A/B","3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"37","Mathematics 4155A/B","Calculus On Manifolds","Manifolds (definition, examples, constructions), orientation, functions, partitions of unity, tangent bundle, cotangent bundle, vector fields, integral curves, differential forms, integration, manifolds with boundary, Stokes' theorem, submersions, immersions, embeddings, submanifolds, Sard's theorem, Whitney embedding theorem.",3,"","","Calculus 2503A/B and Mathematics 3122A/B","3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"38","Mathematics 4156A/B","Complex Analysis Ii","Linear-fractional transformations, Schwarz's lemma, Reflection Principle, the Argument principle, the Riemann mapping theorem, Runge's theorem, the Mittag-Lefler and Weierstrass theorems.",3,"","","Mathematics 3124A/B","3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"39","Mathematics 4158A/B/Y","Foundations Of Mathematics","Set theory: axioms, ordinal numbers, transfinite induction, cardinality, the axiom of choice. Foundations of mathematics: construction of the real numbers from the natural numbers by one of the standard methods. First-order logic: propositional calculus, quantifiers, truth and satisfaction, models of first-order theories, consistency, completeness and compactness.",3,"","","Permission of the Department","3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"40","Mathematics 4958A/B","Special Topics In Mathematics","Extra Information: 3 lecture hours",3,"","","","Course Description 3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
"41","Mathematics 4959A/B","Special Topics In Mathematics","Extra Information: 3 lecture hours.",3,"","","Permission of the Department","Course Description 3 lecture hours",TRUE,FALSE,FALSE,"Category C",""
